,Ticker,Exchange,Industry,Supersector,Sector,Subsector,
Hindalco Industries Limited,500440,BSE LTD,Basic Materials,Basic Resources,Industrial Metals and Mining,General Mining,
Innospec Inc.,IOSP,Nasdaq,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,
Johnson Matthey Plc,JMAT,London Stock Exchange,Basic Materials,Chemicals,Chemicals,Chemicals: Diversified,
Kaiser Aluminum Corp.,KALU,Nasdaq,Basic Materials,Basic Resources,Industrial Metals and Mining,Aluminum,
Kirkland Lake Gold Ltd.,KL,Toronto Stock Exchange,Basic Materials,Basic Resources,Precious Metals and Mining,Gold Mining,
Klabin SA Brazilian Units,KLBN11,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Basic Resources,Industrial Materials,Paper,
Meta Materials Inc.,MMAT,Nasdaq,Basic Materials,Basic Resources,Industrial Materials,Diversified Materials,
Neenah Inc.,NP,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Materials,Paper,
Northern Technologies International Corp.,NTIC,Nasdaq,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,
POSCO,PKX,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Quaker Chemical Corp.,KWR,"New York Stock Exchange, Inc.",Basic Materials,Chemicals,Chemicals,Specialty Chemicals,
RBC Bearings Inc.,ROLL,Nasdaq,Basic Materials,Basic Resources,Industrial Metals and Mining,Metal Fabricating,
Rio Tinto Plc,RIO,London Stock Exchange,Basic Materials,Basic Resources,Industrial Metals and Mining,General Mining,
"Royal Gold, Inc.",RGLD,Nasdaq,Basic Materials,Basic Resources,Precious Metals and Mining,Gold Mining,
Suzano S.A.,SUZB3,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Basic Resources,Industrial Materials,Paper,
Tata Steel Limited,500470,BSE LTD,Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
United States Steel Corp.,X,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Vale S.A.,VALE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Vedanta Limited,500295,BSE LTD,Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Abercrombie & Fitch Co. Class A,ANF,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Activision Blizzard,ATVI,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Electronic Entertainment,
Air Canada,AC,Toronto Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
Alibaba Group Holding Ltd. - ADR,BABA,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Alimentation Couche-Tard Inc. Class B,ATD.B,Toronto Stock Exchange,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Amazon.com, Inc.",AMZN,Nasdaq,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
AMC Entertainment,AMC,"New York Stock Exchange, Inc.",Consumer Discretionary,Media,Media,Entertainment,
"American Airlines Group, Inc.",AAL,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
"American Eagle Outfitters, Inc.",AEO,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Aptiv PLC,APTV,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Auto Parts,
Autozone,AZO,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Avon Products, Inc.",AVP,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Cosmetics,
Bajaj Auto Ltd.,532977,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Barnes & Noble Education, Inc.",BNED,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
Bata India Ltd.,500043,BSE LTD,Consumer Discretionary,Consumer Products and Services,Personal Goods,Footwear,
Bed Bath & Beyond Inc.,BBBY,Nasdaq,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Best Buy Co., Inc.",BBY,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
BorgWarner Inc.,BWA,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Auto Parts,
Bosch Ltd.,500530,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Auto Parts,
Boyd Group Services Inc.,BYD,Toronto Stock Exchange,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Auto Services,
"BuildABear Workshop, Inc.",BBW,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Burlington Stores, Inc.",BURL,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Caesars Entertainment,CZR,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Casinos and Gambling,
"Canada Goose Holdings, Inc.",GOOS,Toronto Stock Exchange,Consumer Discretionary,Consumer Products and Services,Personal Goods,Clothing and Accessories,
"CarMax, Inc.",KMX,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
Carnival Plc,CCL,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Travel and Tourism,
Cheesecake Factory Incorporated,CAKE,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"China Automotive Systems, Inc.",CAAS,Nasdaq,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Auto Parts,
China Eastern Airlines Corp. Ltd. ADR Class H,CEA,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
China Southern Airlines Co Ltd ADR Class H,ZNH,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
China Tourism Group Duty Free Corp Ltd,601888,Shanghai Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Travel and Tourism,
"Chipotle Mexican Grill, Inc.",CMG,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
Compass Group Plc,CPG,London Stock Exchange,Consumer Discretionary,Consumer Products and Services,Consumer Services,Vending and Catering Service,
Costco Wholesale Corporation,COST,Nasdaq,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Daily Journal Corporation,DJCO,Nasdaq,Consumer Discretionary,Media,Media,Publishing,
"Delta Air Lines, Inc.",DAL,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
Dollar General Corporation,DG,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
"Dollar Tree, Inc.",DLTR,Nasdaq,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Dollarama Inc.,DOL,Toronto Stock Exchange,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Dominos Pizza Inc,DOM,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"Domino's Pizza, Inc.",DPZ,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
easyJet Plc,EZJ,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
"Endeavor Group Holdings, Inc Class A",EDR,"New York Stock Exchange, Inc.",Consumer Discretionary,Media,Media,Media Agencies,
Etsy,ETSY,Nasdaq,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
"Foot Locker, Inc.",FL,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Ford Motor Company,F,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Gap, Inc.",GPS,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
General Motors Company,GM,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"H&R Block, Inc.",HRB,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Consumer Services,Consumer Services: Misc.,
"Harley-Davidson, Inc.",HOG,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Leisure Goods,Recreational Vehicles and Boats,
"Hasbro, Inc.",HAS,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Toys,
Hero Motocorp Ltd,500182,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
Hibbett Inc,HIBB,Nasdaq,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
Home Depot,HD,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Home Improvement Retailers,
"Honda Motor Co., Ltd.",HMC,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
Hostelworld Group Plc,HSW,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Travel and Tourism,
Hyatt Hotels Corporation Class A,H,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Hotels and Motels,
IMAX Corporation,IMAX,"New York Stock Exchange, Inc.",Consumer Discretionary,Media,Media,Entertainment,
InterContinental Hotels Group Plc,IHG,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Hotels and Motels,
JetBlue Airways Corporation,JBLU,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
Jubilant Foodworks Limited,533155,BSE LTD,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"Lands' End, Inc.",LE,Nasdaq,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Las Vegas Sands Corp.,LVS,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Casinos and Gambling,
LCI Industries,LCII,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Leisure Goods,Recreational Vehicles and Boats,
Localiza Rent A Car S.A.,RENT3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Discretionary,Consumer Products and Services,Consumer Services,Rental and Leasing Services: Consumer,
Lojas Americanas S.A. Pfd,LAME4,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Lojas Renner S.A.,LREN3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Lookers plc,LOOK,London Stock Exchange,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
Lululemon Athletica Inc,LULU,Nasdaq,Consumer Discretionary,Consumer Products and Services,Personal Goods,Clothing and Accessories,
"Lyft, Inc. Class A",LYFT,Nasdaq,Consumer Discretionary,Consumer Products and Services,Consumer Services,Consumer Services: Misc.,
Macy's Inc,M,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Magazine Luiza S.A.,MGLU3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
Mahindra & Mahindra Ltd.,500520,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Marriott International, Inc. Class A",MAR,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Hotels and Motels,
Maruti Suzuki India Limited,532500,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Mattel, Inc.",MAT,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Toys,
McDonald's Corporation,MCD,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
Midea Group Co. Ltd. Class A,000333,Shenzhen Stock Exchange,Consumer Discretionary,Consumer Products and Services,Household Goods and Home Construction,Household Appliance,
"Movado Group, Inc.",MOV,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Luxury Items,
"NetEase, Inc.",NTES,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Electronic Entertainment,
Netflix Inc,NFLX,Nasdaq,Consumer Discretionary,Media,Media,Entertainment,
"New Oriental Education & Technology Group, Inc.",EDU,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Consumer Services,Education Services,
Next plc,NXT,London Stock Exchange,Consumer Discretionary,Retail,Retailers,Diversified Retailers,
"NIKE, Inc. Class B",NKE,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Footwear,
Norwegian Cruise Line Holdings Ltd.,NCLH,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Travel and Tourism,
On The Beach Group PLC,OTB,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Travel and Tourism,
"O'Reilly Automotive, Inc",ORLY,Nasdaq,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Papa John's International, Inc.",PZZA,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
Pearson PLC,PSON,London Stock Exchange,Consumer Discretionary,Media,Media,Publishing,
"Peloton Interactive, Inc. Class A",PTON,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Recreational Services,
"Planet Fitness, Inc. Class A",PLNT,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Recreational Services,
Restaurant Brands International Inc.,QSR,Toronto Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"Revlon, Inc. Class A",REV,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Cosmetics,
Ritchie Bros. Auctioneers Inc.,RBA,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Consumer Services,Consumer Services: Misc.,
"Sirius XM Holdings, Inc.",SIRI,Nasdaq,Consumer Discretionary,Media,Media,Radio and TV Broadcasters,
"SkyWest, Inc",SKYW,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
"Smith & Wesson Brands, Inc.",SWBI,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Recreational Products,
Sony,SONY,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Leisure Goods,Consumer Electronics,
Southwest Airlines Co.,LUV,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
"Spirit Airlines, Inc.",SAVE,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Airlines,
Spotify Technology SA,SPOT,"New York Stock Exchange, Inc.",Consumer Discretionary,Media,Media,Radio and TV Broadcasters,
Starbucks Corporation,SBUX,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"Stitch Fix, Inc. Class A",SFIX,Nasdaq,Consumer Discretionary,Retail,Retailers,Apparel Retailers,
TAL Education Group,TAL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Consumer Services,Education Services,
Target Corporation,TGT,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Tata Motors Limited,500570,BSE LTD,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
Tesla Inc,TSLA,Nasdaq,Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Texas Roadhouse, Inc.",TXRH,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
"The Container Store Group, Inc.",TCS,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
The Estee Lauder Companies Inc. Class A,EL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Cosmetics,
The Walt Disney Company,DIS,"New York Stock Exchange, Inc.",Consumer Discretionary,Media,Media,Entertainment,
The Wendy's Company,WEN,Nasdaq,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
The9 Ltd.,NCTY,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Electronic Entertainment,
Titan Company Limited,500114,BSE LTD,Consumer Discretionary,Consumer Products and Services,Personal Goods,Luxury Items,
TJX Companies Inc.,TJX,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Apparel Retailers,
Toyota Motor Corp.,TM,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Parts,Automobiles and Parts,Automobiles,
"Uber Technologies, Inc.",UBER,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Consumer Services,Consumer Services: Misc.,
Ulta Beauty Inc.,ULTA,Nasdaq,Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Under Armour, Inc. Class A",UAA,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Clothing and Accessories,
"Urban Outfitters, Inc.",URBN,Nasdaq,Consumer Discretionary,Retail,Retailers,Apparel Retailers,
"Vera Bradley, Inc.",VRA,Nasdaq,Consumer Discretionary,Consumer Products and Services,Personal Goods,Clothing and Accessories,
VF Corp,VFC,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Products and Services,Personal Goods,Clothing and Accessories,
Walmart Inc.,WMT,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Diversified Retailers,
Whitbread PLC,WTB,London Stock Exchange,Consumer Discretionary,Travel and Leisure,Travel and Leisure,Hotels and Motels,
"Williams-Sonoma, Inc.",WSM,"New York Stock Exchange, Inc.",Consumer Discretionary,Retail,Retailers,Specialty Retailers,
"Wyndham Hotels & Resorts, Inc.",WH,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Hotels and Motels,
"Yum! Brands, Inc.",YUM,"New York Stock Exchange, Inc.",Consumer Discretionary,Travel and Leisure,Travel and Leisure,Restaurants and Bars,
Zynga Inc. Class A,ZNGA,Nasdaq,Consumer Discretionary,Consumer Products and Services,Leisure Goods,Electronic Entertainment,
Ambev SA,ABEV3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,
Atacadao SA,CRFB3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
BRF SA,BRFS3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
Campbell Soup Company,CPB,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"Casey's General Stores, Inc.",CASY,Nasdaq,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
Coca-Cola Company,KO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,
Colgate-Palmolive Company,CL,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
"Core-Mark Holding Company, Inc.",CORE,Nasdaq,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
Corteva Inc.,CTVA,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,"Farming, Fishing, Ranching and Plantations",
CVS Health Corporation,CVS,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Drug Retailers,
Diageo plc,DEO,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers and Vintners,
"General Mills, Inc.",GIS,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
Godrej Agrovet Limited,540743,BSE LTD,Consumer Staples,"Food, Beverage and Tobacco",Food Producers,"Farming, Fishing, Ranching and Plantations",
Godrej Consumer Products Limited,532424,BSE LTD,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
Hindustan Unilever Limited,500696,BSE LTD,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
ITC Limited,500875,BSE LTD,Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,
J & J Snack Foods Corp.,JJSF,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
J Sainsbury plc,SBRY,London Stock Exchange,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
JBS S.A.,JBSS3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
Kellogg Company,K,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
Keurig Dr Pepper Inc.,KDP,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,
"Kweichow Moutai Co., Ltd. Class A",600519,Shanghai Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers and Vintners,
M. Dias Branco SA Indústria e Comércio de Alimentos,MDIA3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"McCormick & Company, Inc.",MKC,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
McKesson Corporation,MCK,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Drug Retailers,
Molson Coors Beverage Company Class B,TAP,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,
Monster Beverage Corp.,MNST,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,
National Beverage Corp.,FIZZ,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,
Nestle India Ltd.,500790,BSE LTD,Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"PepsiCo, Inc.",PEP,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,
Procter & Gamble Company,PG,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
Raia Drogasil S.A.,RADL3,"The B3 S.A. - Brasil, Bolsa, Balcão",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Drug Retailers,
Reckitt Benckiser Group plc,RKT,London Stock Exchange,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Nondurable Household Products,
Rite Aid Corporation,RAD,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Drug Retailers,
"Sprouts Farmers Markets, Inc.",SFM,Nasdaq,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
Sysco Corporation,SYY,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
The Hershey Company,HSY,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"Tootsie Roll Industries, Inc.",TR,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"TreeHouse Foods, Inc.",THS,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
"Tyson Foods, Inc. Class A",TSN,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Producers,Food Products,
UNILEVER N.V. Common Stock,UL,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
Unilever PLC,ULVR,London Stock Exchange,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Personal Products,
"United Natural Foods, Inc.",UNFI,"New York Stock Exchange, Inc.",Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Food Retailers and Wholesalers,
Walgreens Boots Alliance Inc.,WBA,Nasdaq,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Drug Retailers,
WD-40 Company,WDFC,Nasdaq,Consumer Staples,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Nondurable Household Products,
"Wuliangye Yibin Co., Ltd. Class A",000858,Shenzhen Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers and Vintners,
Wynnstay Group plc,WYN,London Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Food Producers,"Farming, Fishing, Ranching and Plantations",
"Aemetis, Inc.",AMTX,Nasdaq,Energy,Energy,Alternative Energy,Alternative Fuels,
BP p.l.c.,BP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Coal",Integrated Oil and Gas,
Cameco Corporation,CCJ,"New York Stock Exchange, Inc.",Energy,Energy,Alternative Energy,Alternative Fuels,
